coordinates 	27.73	143.94	155.73	143.94
time(s)	frame	Idon(a.u.)	Iacc(a.u.)	Idon ideal(a.u.)	Iacc ideal(a.u.)	FRET	FRET ideal (blurr)	FRET ideal	state sequence
1.000000e-01	1	2.169808e+03	3.911452e+02	2.880000e+01	7.200000e+00	1.527342e-01	2.000000e-01	2.000000e-01	1
2.000000e-01	2	1.847184e+03	3.193040e+02	2.880000e+01	7.200000e+00	1.473832e-01	2.000000e-01	2.000000e-01	1
3.000000e-01	3	1.619620e+03	0	2.880000e+01	7.200000e+00	0	2.000000e-01	2.000000e-01	1
4.000000e-01	4	1.523671e+03	5.868020e+02	2.880000e+01	7.200000e+00	2.780429e-01	2.000000e-01	2.000000e-01	1
5.000000e-01	5	1.568481e+03	4.882850e+02	2.880000e+01	7.200000e+00	2.374042e-01	2.000000e-01	2.000000e-01	1
6.000000e-01	6	1.770169e+03	3.189588e+02	2.880000e+01	7.200000e+00	1.526756e-01	2.000000e-01	2.000000e-01	1
7.000000e-01	7	1.974589e+03	3.406497e+02	2.880000e+01	7.200000e+00	1.471337e-01	2.000000e-01	2.000000e-01	1
8.000000e-01	8	1.822222e+03	7.207746e+02	2.880000e+01	7.200000e+00	2.834351e-01	2.000000e-01	2.000000e-01	1
9.000000e-01	9	1.148042e+03	2.389556e+02	2.880000e+01	7.200000e+00	1.722826e-01	2.000000e-01	2.000000e-01	1
1	10	1.851540e+03	5.570328e+02	2.880000e+01	7.200000e+00	2.312709e-01	2.000000e-01	2.000000e-01	1
1.100000e+00	11	1.565131e+03	4.114637e+02	2.880000e+01	7.200000e+00	2.081679e-01	2.000000e-01	2.000000e-01	1
1.200000e+00	12	1.337913e+03	7.323444e+02	2.880000e+01	7.200000e+00	3.537456e-01	2.000000e-01	2.000000e-01	1
1.300000e+00	13	1.467076e+03	4.994992e+02	2.880000e+01	7.200000e+00	2.539944e-01	2.000000e-01	2.000000e-01	1
1.400000e+00	14	1.370482e+03	3.977646e+02	2.880000e+01	7.200000e+00	2.249486e-01	2.000000e-01	2.000000e-01	1
1.500000e+00	15	1.700399e+03	3.333736e+02	2.880000e+01	7.200000e+00	1.639188e-01	2.000000e-01	2.000000e-01	1
1.600000e+00	16	2.029070e+03	3.828655e+02	2.880000e+01	7.200000e+00	1.587379e-01	2.000000e-01	2.000000e-01	1
1.700000e+00	17	1.396697e+03	2.989505e+02	2.880000e+01	7.200000e+00	1.763047e-01	2.000000e-01	2.000000e-01	1
1.800000e+00	18	1.800947e+03	2.713965e+02	2.880000e+01	7.200000e+00	1.309612e-01	2.000000e-01	2.000000e-01	1
1.900000e+00	19	1.276142e+03	3.677562e+02	2.880000e+01	7.200000e+00	2.237098e-01	2.000000e-01	2.000000e-01	1
