coordinates 	84.82	38.58	212.82	38.58
time(s)	frame	Idon(a.u.)	Iacc(a.u.)	Idon ideal(a.u.)	Iacc ideal(a.u.)	FRET	FRET ideal (blurr)	FRET ideal	state sequence
1.000000e-01	1	1.781828e+03	2.753799e+02	2.880000e+01	7.200000e+00	1.338610e-01	2.000000e-01	2.000000e-01	1
2.000000e-01	2	1.917875e+03	5.511733e+02	2.880000e+01	7.200000e+00	2.232331e-01	2.000000e-01	2.000000e-01	1
3.000000e-01	3	2.049744e+03	3.002801e+02	2.880000e+01	7.200000e+00	1.277774e-01	2.000000e-01	2.000000e-01	1
4.000000e-01	4	1.815931e+03	2.285563e+02	2.880000e+01	7.200000e+00	1.117915e-01	2.000000e-01	2.000000e-01	1
5.000000e-01	5	1.608210e+03	5.293367e+02	2.880000e+01	7.200000e+00	2.476375e-01	2.000000e-01	2.000000e-01	1
6.000000e-01	6	1.345970e+03	3.962675e+02	2.880000e+01	7.200000e+00	2.274475e-01	2.000000e-01	2.000000e-01	1
7.000000e-01	7	1.792406e+03	4.726535e+02	2.880000e+01	7.200000e+00	2.086716e-01	2.000000e-01	2.000000e-01	1
8.000000e-01	8	2.147318e+03	3.628656e+02	2.880000e+01	7.200000e+00	1.445574e-01	2.000000e-01	2.000000e-01	1
9.000000e-01	9	1.284789e+03	4.537233e+02	2.880000e+01	7.200000e+00	2.609837e-01	2.000000e-01	2.000000e-01	1
1	10	1.714783e+03	4.043664e+02	2.880000e+01	7.200000e+00	1.908155e-01	2.000000e-01	2.000000e-01	1
1.100000e+00	11	1.827293e+03	2.018810e+02	2.880000e+01	7.200000e+00	9.948922e-02	2.000000e-01	2.000000e-01	1
1.200000e+00	12	1.673521e+03	4.043980e+02	2.880000e+01	7.200000e+00	1.946169e-01	2.000000e-01	2.000000e-01	1
1.300000e+00	13	1.631158e+03	4.187791e+02	2.880000e+01	7.200000e+00	2.042888e-01	2.000000e-01	2.000000e-01	1
1.400000e+00	14	1.779651e+03	5.015873e+02	2.880000e+01	7.200000e+00	2.198750e-01	2.000000e-01	2.000000e-01	1
1.500000e+00	15	1.754411e+03	3.775814e+02	2.880000e+01	7.200000e+00	1.771026e-01	2.000000e-01	2.000000e-01	1
1.600000e+00	16	1.500433e+03	5.819544e+02	2.880000e+01	7.200000e+00	2.794649e-01	2.000000e-01	2.000000e-01	1
1.700000e+00	17	1.394882e+03	4.179880e+02	2.880000e+01	7.200000e+00	2.305670e-01	2.000000e-01	2.000000e-01	1
1.800000e+00	18	1.617813e+03	4.305607e+02	2.880000e+01	7.200000e+00	2.101963e-01	2.000000e-01	2.000000e-01	1
1.900000e+00	19	1.491464e+03	4.092448e+02	2.880000e+01	7.200000e+00	2.153116e-01	2.000000e-01	2.000000e-01	1
2	20	1.355487e+03	4.355701e+02	2.880000e+01	7.200000e+00	2.431916e-01	2.000000e-01	2.000000e-01	1
2.100000e+00	21	1.544702e+03	2.093381e+02	2.880000e+01	7.200000e+00	1.193462e-01	2.000000e-01	2.000000e-01	1
2.200000e+00	22	1.067346e+03	4.043929e+02	2.880000e+01	7.200000e+00	2.747721e-01	2.000000e-01	2.000000e-01	1
2.300000e+00	23	2.028614e+03	6.176731e+02	2.880000e+01	7.200000e+00	2.334112e-01	2.000000e-01	2.000000e-01	1
2.400000e+00	24	1.632292e+03	4.412696e+02	2.880000e+01	7.200000e+00	2.128076e-01	2.000000e-01	2.000000e-01	1
2.500000e+00	25	1.648965e+03	3.507138e+02	2.880000e+01	7.200000e+00	1.753850e-01	2.000000e-01	2.000000e-01	1
2.600000e+00	26	1.604486e+03	4.766193e+02	2.880000e+01	7.200000e+00	2.290222e-01	2.000000e-01	2.000000e-01	1
2.700000e+00	27	8.813150e+02	5.347594e+02	2.880000e+01	7.200000e+00	3.776351e-01	2.000000e-01	2.000000e-01	1
2.800000e+00	28	1.865540e+03	4.360156e+02	2.880000e+01	7.200000e+00	1.894439e-01	2.000000e-01	2.000000e-01	1
2.900000e+00	29	1.997361e+03	4.479483e+02	2.880000e+01	7.200000e+00	1.831868e-01	2.000000e-01	2.000000e-01	1
3	30	1.598953e+03	6.002755e+02	2.880000e+01	7.200000e+00	2.729482e-01	2.000000e-01	2.000000e-01	1
3.100000e+00	31	1.721636e+03	2.884319e+02	2.880000e+01	7.200000e+00	1.434936e-01	2.000000e-01	2.000000e-01	1
3.200000e+00	32	1.563929e+03	6.947772e+02	2.880000e+01	7.200000e+00	3.075996e-01	2.000000e-01	2.000000e-01	1
3.300000e+00	33	1.524569e+03	4.742015e+02	2.880000e+01	7.200000e+00	2.372466e-01	2.000000e-01	2.000000e-01	1
3.400000e+00	34	1.876657e+03	4.582130e+02	2.880000e+01	7.200000e+00	1.962478e-01	2.000000e-01	2.000000e-01	1
3.500000e+00	35	1.863481e+03	6.269140e+02	2.880000e+01	7.200000e+00	2.517328e-01	2.000000e-01	2.000000e-01	1
3.600000e+00	36	1.615531e+03	5.584264e+02	2.880000e+01	7.200000e+00	2.568709e-01	2.000000e-01	2.000000e-01	1
3.700000e+00	37	1.213043e+03	4.098587e+02	2.880000e+01	7.200000e+00	2.525469e-01	2.000000e-01	2.000000e-01	1
3.800000e+00	38	1.581265e+03	5.467106e+02	2.880000e+01	7.200000e+00	2.569159e-01	2.000000e-01	2.000000e-01	1
