coordinates 	43.79	209.00	171.79	209.00
time(s)	frame	Idon(a.u.)	Iacc(a.u.)	Idon ideal(a.u.)	Iacc ideal(a.u.)	FRET	FRET ideal (blurr)	FRET ideal	state sequence
1.000000e-01	1	1.656858e+03	1.161918e+02	2.880000e+01	7.200000e+00	6.553214e-02	2.000000e-01	2.000000e-01	2
2.000000e-01	2	1.613862e+03	2.712482e+02	2.880000e+01	7.200000e+00	1.438898e-01	2.000000e-01	2.000000e-01	2
3.000000e-01	3	1.485901e+03	4.903327e+02	2.880000e+01	7.200000e+00	2.481147e-01	2.000000e-01	2.000000e-01	2
4.000000e-01	4	1.319180e+03	2.215396e+02	2.880000e+01	7.200000e+00	1.437897e-01	2.000000e-01	2.000000e-01	2
5.000000e-01	5	1.968413e+03	4.227739e+02	2.880000e+01	7.200000e+00	1.768050e-01	2.000000e-01	2.000000e-01	2
6.000000e-01	6	1.436834e+03	4.416919e+02	2.880000e+01	7.200000e+00	2.351269e-01	2.000000e-01	2.000000e-01	2
7.000000e-01	7	1.109291e+03	5.344087e+02	2.880000e+01	7.200000e+00	3.251256e-01	2.000000e-01	2.000000e-01	2
8.000000e-01	8	1.641499e+03	3.045907e+02	2.880000e+01	7.200000e+00	1.565142e-01	2.000000e-01	2.000000e-01	2
9.000000e-01	9	1.569056e+03	4.134492e+01	2.880000e+01	7.200000e+00	2.567368e-02	2.000000e-01	2.000000e-01	2
1	10	1.056203e+03	1.643292e+02	2.880000e+01	7.200000e+00	1.346374e-01	2.000000e-01	2.000000e-01	2
1.100000e+00	11	1.685796e+03	3.750086e+02	2.880000e+01	7.200000e+00	1.819719e-01	2.000000e-01	2.000000e-01	2
1.200000e+00	12	9.356256e+02	2.602451e+02	2.880000e+01	7.200000e+00	2.176197e-01	2.000000e-01	2.000000e-01	2
1.300000e+00	13	2.168796e+03	4.480705e+02	2.880000e+01	7.200000e+00	1.712241e-01	2.000000e-01	2.000000e-01	2
1.400000e+00	14	1.699535e+03	1.993508e+02	2.880000e+01	7.200000e+00	1.049830e-01	2.000000e-01	2.000000e-01	2
1.500000e+00	15	1.623932e+03	4.546684e+02	2.880000e+01	7.200000e+00	2.187378e-01	2.000000e-01	2.000000e-01	2
1.600000e+00	16	1.475888e+03	4.041118e+02	2.880000e+01	7.200000e+00	2.149532e-01	2.000000e-01	2.000000e-01	2
1.700000e+00	17	1.787884e+03	3.004112e+02	2.880000e+01	7.200000e+00	1.438548e-01	2.000000e-01	2.000000e-01	2
1.800000e+00	18	1.625194e+03	5.851101e+02	2.880000e+01	7.200000e+00	2.647193e-01	2.000000e-01	2.000000e-01	2
1.900000e+00	19	1.670066e+03	3.074150e+02	2.880000e+01	7.200000e+00	1.554578e-01	2.000000e-01	2.000000e-01	2
2	20	1.761409e+03	2.252027e+02	2.880000e+01	7.200000e+00	1.133602e-01	2.000000e-01	2.000000e-01	2
2.100000e+00	21	1.325487e+03	4.141802e+02	2.880000e+01	7.200000e+00	2.380801e-01	2.000000e-01	2.000000e-01	2
