coordinates 	105.45	18.68	233.45	18.68
time(s)	frame	Idon(a.u.)	Iacc(a.u.)	Idon ideal(a.u.)	Iacc ideal(a.u.)	FRET	FRET ideal (blurr)	FRET ideal	state sequence
1.000000e-01	1	1.137775e+03	3.253483e+02	2.880000e+01	7.200000e+00	2.223656e-01	2.000000e-01	2.000000e-01	2
2.000000e-01	2	1.459117e+03	5.361400e+02	2.880000e+01	7.200000e+00	2.687073e-01	2.000000e-01	2.000000e-01	2
3.000000e-01	3	2.218149e+03	3.817052e+02	2.880000e+01	7.200000e+00	1.468179e-01	2.000000e-01	2.000000e-01	2
4.000000e-01	4	1.925365e+03	1.336558e+02	2.880000e+01	7.200000e+00	6.491229e-02	2.000000e-01	2.000000e-01	2
5.000000e-01	5	1.308575e+03	5.387401e+02	2.880000e+01	7.200000e+00	2.916342e-01	2.000000e-01	2.000000e-01	2
6.000000e-01	6	2.188137e+03	4.890482e+01	2.880000e+01	7.200000e+00	2.186138e-02	2.000000e-01	2.000000e-01	2
7.000000e-01	7	1.370496e+03	5.043738e+02	2.653315e+01	9.466846e+00	2.690180e-01	2.629680e-01	2.000000e-01	2
8.000000e-01	8	7.384184e+02	1.779223e+03	1.080000e+01	2.520000e+01	7.067024e-01	7.000000e-01	7.000000e-01	4
9.000000e-01	9	6.505075e+02	1.263839e+03	1.488721e+01	2.111279e+01	6.601934e-01	5.864664e-01	7.000000e-01	4
1	10	1.751656e+03	4.905385e+02	2.880000e+01	7.200000e+00	2.187761e-01	2.000000e-01	2.000000e-01	2
1.100000e+00	11	1.155128e+03	1.594278e+02	2.880000e+01	7.200000e+00	1.212789e-01	2.000000e-01	2.000000e-01	2
1.200000e+00	12	2.056697e+03	3.648265e+02	2.880000e+01	7.200000e+00	1.506599e-01	2.000000e-01	2.000000e-01	2
1.300000e+00	13	1.517755e+03	2.477862e+02	2.880000e+01	7.200000e+00	1.403457e-01	2.000000e-01	2.000000e-01	2
1.400000e+00	14	1.922402e+03	4.137764e+02	2.880000e+01	7.200000e+00	1.771168e-01	2.000000e-01	2.000000e-01	2
1.500000e+00	15	1.782743e+03	3.999133e+02	2.880000e+01	7.200000e+00	1.832233e-01	2.000000e-01	2.000000e-01	2
1.600000e+00	16	1.364361e+03	3.940493e+02	2.880000e+01	7.200000e+00	2.240941e-01	2.000000e-01	2.000000e-01	2
1.700000e+00	17	1.532708e+03	2.339414e+02	2.880000e+01	7.200000e+00	1.324210e-01	2.000000e-01	2.000000e-01	2
1.800000e+00	18	1.374409e+03	6.712935e+02	2.880000e+01	7.200000e+00	3.281481e-01	2.000000e-01	2.000000e-01	2
1.900000e+00	19	1.679598e+03	4.137055e+02	2.880000e+01	7.200000e+00	1.976328e-01	2.000000e-01	2.000000e-01	2
2	20	1.871360e+03	7.428079e+02	2.880000e+01	7.200000e+00	2.841470e-01	2.000000e-01	2.000000e-01	2
2.100000e+00	21	1.775983e+03	1.929492e+02	2.880000e+01	7.200000e+00	9.799684e-02	2.000000e-01	2.000000e-01	2
2.200000e+00	22	1.704596e+03	5.364066e+02	2.880000e+01	7.200000e+00	2.393601e-01	2.000000e-01	2.000000e-01	2
2.300000e+00	23	1.160687e+03	4.916296e+02	2.880000e+01	7.200000e+00	2.975396e-01	2.000000e-01	2.000000e-01	2
2.400000e+00	24	1.482388e+03	4.879496e+02	2.880000e+01	7.200000e+00	2.476477e-01	2.000000e-01	2.000000e-01	2
2.500000e+00	25	1.857476e+03	4.416147e+02	2.880000e+01	7.200000e+00	1.920823e-01	2.000000e-01	2.000000e-01	2
2.600000e+00	26	1.592728e+03	3.247463e+02	2.880000e+01	7.200000e+00	1.693615e-01	2.000000e-01	2.000000e-01	2
