coordinates 	104.65	130.76	232.65	130.76
time(s)	frame	Idon(a.u.)	Iacc(a.u.)	Idon ideal(a.u.)	Iacc ideal(a.u.)	FRET	FRET ideal (blurr)	FRET ideal	state sequence
1.000000e-01	1	9.600692e+02	6.733142e+02	1.080000e+01	2.520000e+01	4.122206e-01	7.000000e-01	7.000000e-01	2
2.000000e-01	2	7.058482e+02	1.213147e+03	1.080000e+01	2.520000e+01	6.321783e-01	7.000000e-01	7.000000e-01	2
3.000000e-01	3	5.385139e+02	1.606571e+03	1.080000e+01	2.520000e+01	7.489545e-01	7.000000e-01	7.000000e-01	2
4.000000e-01	4	3.925635e+02	1.235845e+03	1.080000e+01	2.520000e+01	7.589281e-01	7.000000e-01	7.000000e-01	2
5.000000e-01	5	4.343862e+02	1.737133e+03	1.080000e+01	2.520000e+01	7.999621e-01	7.000000e-01	7.000000e-01	2
6.000000e-01	6	6.282392e+02	1.456345e+03	1.080000e+01	2.520000e+01	6.986261e-01	7.000000e-01	7.000000e-01	2
7.000000e-01	7	8.601858e+02	1.301456e+03	1.080000e+01	2.520000e+01	6.020683e-01	7.000000e-01	7.000000e-01	2
8.000000e-01	8	4.299113e+02	1.294064e+03	1.080000e+01	2.520000e+01	7.506279e-01	7.000000e-01	7.000000e-01	2
9.000000e-01	9	6.909408e+02	1.272352e+03	1.080000e+01	2.520000e+01	6.480704e-01	7.000000e-01	7.000000e-01	2
1	10	5.137098e+02	1.065361e+03	1.080000e+01	2.520000e+01	6.746760e-01	7.000000e-01	7.000000e-01	2
1.100000e+00	11	7.417060e+02	1.455417e+03	1.080000e+01	2.520000e+01	6.624195e-01	7.000000e-01	7.000000e-01	2
1.200000e+00	12	5.905540e+02	2.028979e+03	1.080000e+01	2.520000e+01	7.745576e-01	7.000000e-01	7.000000e-01	2
1.300000e+00	13	6.966703e+02	1.426601e+03	1.080000e+01	2.520000e+01	6.718883e-01	7.000000e-01	7.000000e-01	2
1.400000e+00	14	3.843495e+02	1.354211e+03	1.080000e+01	2.520000e+01	7.789266e-01	7.000000e-01	7.000000e-01	2
1.500000e+00	15	8.264529e+02	1.403444e+03	1.080000e+01	2.520000e+01	6.293761e-01	7.000000e-01	7.000000e-01	2
1.600000e+00	16	3.356474e+02	1.840276e+03	1.080000e+01	2.520000e+01	8.457448e-01	7.000000e-01	7.000000e-01	2
1.700000e+00	17	3.749738e+02	1.665035e+03	1.080000e+01	2.520000e+01	8.161901e-01	7.000000e-01	7.000000e-01	2
1.800000e+00	18	6.506311e+02	1.533376e+03	1.080000e+01	2.520000e+01	7.020929e-01	7.000000e-01	7.000000e-01	2
1.900000e+00	19	8.051776e+02	9.395772e+02	1.080000e+01	2.520000e+01	5.385153e-01	7.000000e-01	7.000000e-01	2
2	20	4.952931e+02	1.400805e+03	1.080000e+01	2.520000e+01	7.387830e-01	7.000000e-01	7.000000e-01	3
2.100000e+00	21	5.774404e+02	8.489465e+02	1.080000e+01	2.520000e+01	5.951727e-01	7.000000e-01	7.000000e-01	3
2.200000e+00	22	6.088698e+02	9.183160e+02	1.080000e+01	2.520000e+01	6.013126e-01	7.000000e-01	7.000000e-01	3
2.300000e+00	23	6.402356e+02	8.338501e+02	1.080000e+01	2.520000e+01	5.656728e-01	7.000000e-01	7.000000e-01	3
2.400000e+00	24	6.643407e+02	1.292107e+03	1.080000e+01	2.520000e+01	6.604353e-01	7.000000e-01	7.000000e-01	3
2.500000e+00	25	4.273994e+02	1.430060e+03	1.080000e+01	2.520000e+01	7.699011e-01	7.000000e-01	7.000000e-01	3
2.600000e+00	26	7.099390e+02	7.970173e+02	1.080000e+01	2.520000e+01	5.288921e-01	7.000000e-01	7.000000e-01	3
2.700000e+00	27	3.276552e+02	1.415425e+03	1.080000e+01	2.520000e+01	8.120252e-01	7.000000e-01	7.000000e-01	3
2.800000e+00	28	7.953246e+02	1.326303e+03	1.080000e+01	2.520000e+01	6.251346e-01	7.000000e-01	7.000000e-01	3
2.900000e+00	29	6.370636e+02	1.352377e+03	1.080000e+01	2.520000e+01	6.797776e-01	7.000000e-01	7.000000e-01	3
3	30	3.010554e+02	1.714747e+03	1.080000e+01	2.520000e+01	8.506523e-01	7.000000e-01	7.000000e-01	3
3.100000e+00	31	3.732589e+02	1.243115e+03	1.080000e+01	2.520000e+01	7.690763e-01	7.000000e-01	7.000000e-01	3
3.200000e+00	32	4.114629e+02	1.541196e+03	1.080000e+01	2.520000e+01	7.892807e-01	7.000000e-01	7.000000e-01	3
3.300000e+00	33	3.424485e+02	1.816370e+03	1.080000e+01	2.520000e+01	8.413723e-01	7.000000e-01	7.000000e-01	3
3.400000e+00	34	1.012451e+03	1.996243e+03	1.080000e+01	2.520000e+01	6.634916e-01	7.000000e-01	7.000000e-01	3
3.500000e+00	35	6.459594e+02	1.480184e+03	1.080000e+01	2.520000e+01	6.961826e-01	7.000000e-01	7.000000e-01	3
3.600000e+00	36	9.786658e+02	9.854819e+02	1.080000e+01	2.520000e+01	5.017351e-01	7.000000e-01	7.000000e-01	3
3.700000e+00	37	7.408734e+02	1.788294e+03	1.080000e+01	2.520000e+01	7.070683e-01	7.000000e-01	7.000000e-01	3
3.800000e+00	38	6.107243e+02	1.662714e+03	1.080000e+01	2.520000e+01	7.313653e-01	7.000000e-01	7.000000e-01	3
3.900000e+00	39	6.830206e+02	1.066828e+03	1.080000e+01	2.520000e+01	6.096687e-01	7.000000e-01	7.000000e-01	3
4	40	6.646593e+02	1.207510e+03	1.080000e+01	2.520000e+01	6.449791e-01	7.000000e-01	7.000000e-01	3
4.100000e+00	41	6.106070e+02	1.421560e+03	1.080000e+01	2.520000e+01	6.995291e-01	7.000000e-01	7.000000e-01	3
4.200000e+00	42	5.853042e+02	1.287705e+03	1.080000e+01	2.520000e+01	6.875059e-01	7.000000e-01	7.000000e-01	3
4.300000e+00	43	3.750456e+02	1.628346e+03	1.080000e+01	2.520000e+01	8.127946e-01	7.000000e-01	7.000000e-01	3
4.400000e+00	44	9.981756e+02	1.443345e+03	1.080000e+01	2.520000e+01	5.911665e-01	7.000000e-01	7.000000e-01	3
4.500000e+00	45	8.323983e+02	6.068357e+02	1.080000e+01	2.520000e+01	4.216380e-01	7.000000e-01	7.000000e-01	3
4.600000e+00	46	7.693488e+02	1.425293e+03	1.080000e+01	2.520000e+01	6.494422e-01	7.000000e-01	7.000000e-01	3
4.700000e+00	47	5.859674e+02	1.894806e+03	1.080000e+01	2.520000e+01	7.637965e-01	7.000000e-01	7.000000e-01	3
4.800000e+00	48	5.674470e+02	1.490946e+03	1.080000e+01	2.520000e+01	7.243252e-01	7.000000e-01	7.000000e-01	3
4.900000e+00	49	6.638226e+02	1.611714e+03	1.080000e+01	2.520000e+01	7.082787e-01	7.000000e-01	7.000000e-01	3
5	50	8.088814e+02	1.137540e+03	1.080000e+01	2.520000e+01	5.844264e-01	7.000000e-01	7.000000e-01	3
5.100000e+00	51	4.993251e+02	1.178955e+03	1.080000e+01	2.520000e+01	7.024781e-01	7.000000e-01	7.000000e-01	3
5.200000e+00	52	4.319139e+02	1.469287e+03	1.080000e+01	2.520000e+01	7.728205e-01	7.000000e-01	7.000000e-01	3
5.300000e+00	53	7.237878e+02	1.272624e+03	1.080000e+01	2.520000e+01	6.374556e-01	7.000000e-01	7.000000e-01	3
5.400000e+00	54	6.496075e+02	1.764330e+03	1.080000e+01	2.520000e+01	7.308930e-01	7.000000e-01	7.000000e-01	3
5.500000e+00	55	4.377884e+02	1.493288e+03	1.080000e+01	2.520000e+01	7.732931e-01	7.000000e-01	7.000000e-01	3
5.600000e+00	56	6.669838e+02	1.318491e+03	1.080000e+01	2.520000e+01	6.640684e-01	7.000000e-01	7.000000e-01	3
